"treatment","k","row_id","cate_log","cate_se_log","cate_lo_log","cate_hi_log","cate_pct"
"Background_Purple+Clothes_No",2,1,0.0288935290940526,0.0331308873176726,-0.0360430100485857,0.0938300682366909,2.93149965405517
"Background_Purple+Clothes_No",2,2,0.0688906862354768,0.0477582346277589,-0.0247154536349306,0.162496826105884,7.13190928242076
"Background_Purple+Clothes_No",2,3,0.0577754339995835,0.0402977782400654,-0.0212082113509447,0.136759079350112,5.94770464707741
"Background_Purple+Clothes_No",2,4,0.0238909480588806,0.0257613750789253,-0.0266013470958129,0.0743832432135741,2.41786231335614
"Background_Purple+Clothes_No",2,5,0.0673497184245108,0.048710032048447,-0.0281219443904453,0.162821381239467,6.9669495901197
"Background_Purple+Clothes_No",2,6,0.0745988962909035,0.0458330639327367,-0.0152339090172603,0.164431701599067,7.74518942494005
"Background_Purple+Clothes_No",2,7,0.0301350865311021,0.0275238563221382,-0.0238116718602888,0.084081844922493,3.05937438844488
"Background_Purple+Clothes_No",2,8,0.0279986175619343,0.0338289069369701,-0.038306040034527,0.0943032751583956,2.8394262729067
"Background_Purple+Clothes_No",2,9,0.0240712735419185,0.0283237024871817,-0.0314431833329576,0.0795857304167947,2.43633252912476
"Background_Purple+Clothes_No",2,10,0.0239493128077851,0.0275308032762428,-0.0300110616136508,0.077909687229221,2.42384008061716
"Background_Purple+Clothes_No",2,11,0.030021066858263,0.0304708456849543,-0.0297017906842475,0.0897439244007735,3.04762426217959
"Background_Purple+Clothes_No",2,12,0.0247772274111244,0.0261755872467031,-0.0265269235924138,0.0760813784146626,2.5086733860705
"Background_Purple+Clothes_No",2,13,0.0705545522033907,0.0470630088505767,-0.0216889451437397,0.162798049550521,7.31031079730005
"Background_Purple+Clothes_No",2,14,0.0245835779598113,0.0321683161045484,-0.0384663216051035,0.0876334775247261,2.48882455963366
"Background_Purple+Clothes_No",2,15,0.0283377595835137,0.0256996028541339,-0.0220334620105887,0.0787089811776162,2.87430935865673
"Background_Purple+Clothes_No",2,16,0.0258895327979392,0.033752666611238,-0.0402656937600873,0.0920447593559656,2.62275777224938
"Background_Purple+Clothes_No",2,17,0.0313026504638264,0.0318846628405403,-0.0311912887036326,0.0937965896312854,3.17977306981156
"Background_Purple+Clothes_No",2,18,0.0560115856784709,0.0418182551096407,-0.0259521943364249,0.137975365693367,5.76099367943064
"Background_Purple+Clothes_No",2,19,0.0304672465378787,0.0313283115846158,-0.0309362441679683,0.0918707372437257,3.09361227685396
"Background_Purple+Clothes_No",2,20,0.0604960935917312,0.0472032077487488,-0.0320221935958164,0.153014380779279,6.23634475368633
"Background_Purple+Clothes_No",2,21,0.0292630285098677,0.0289389659608334,-0.0274573447733657,0.0859834017931011,2.96953981052133
"Background_Purple+Clothes_No",2,22,0.0252771658829486,0.0274755890996622,-0.0285749887523892,0.0791293205182864,2.55993422815772
"Background_Purple+Clothes_No",2,24,0.0644412241278554,0.041658716281988,-0.017209859784841,0.146092308040552,6.65628882383837
"Background_Purple+Clothes_No",2,25,0.0685528153949889,0.0412385411534197,-0.0122747252657138,0.149380356055692,7.09571864841267
"Background_Purple+Clothes_No",2,26,0.064031781367959,0.0397114906912456,-0.0138027403868824,0.1418663031228,6.61262811747205
"Background_Purple+Clothes_No",2,27,0.0245207399237042,0.0189323719471903,-0.0125867090927888,0.0616281889401972,2.48238456551582
"Background_Purple+Clothes_No",2,28,0.0665173402811427,0.0441900905519129,-0.0200952372006066,0.153129917762892,6.87794968514461
"Background_Purple+Clothes_No",2,29,0.0671601983317607,0.0448443041323882,-0.0207346377677201,0.155055034431242,6.94667912480309
"Background_Purple+Clothes_No",2,30,0.0702948522479453,0.0472694518519751,-0.022353273381926,0.162942977877817,7.2824459327758
"Background_Purple+Clothes_No",2,31,0.0268146897381393,0.0295059737397571,-0.0310170187917846,0.0846463982680631,2.71774386056927
"Background_Purple+Clothes_No",2,32,0.0223479247769462,0.0335634706993063,-0.0434364777936941,0.0881323273475866,2.25995102904597
"Background_Purple+Clothes_No",2,33,0.0236801292800814,0.0315856905232525,-0.0382278241454935,0.0855880827056564,2.39627298049438
"Background_Purple+Clothes_No",2,34,0.0619813628292859,0.0384113158828307,-0.0133048163010623,0.137267541959634,6.39425156649609
"Background_Purple+Clothes_No",2,35,0.0290432901426599,0.0338245876935079,-0.0372529017366156,0.0953394820219353,2.94691593772867
"Background_Purple+Clothes_No",2,36,0.0224465722654621,0.032204091032415,-0.0406734461580714,0.0855665906889955,2.2700392139696
"Background_Purple+Clothes_No",2,37,0.0272213144943084,0.0307128216770551,-0.0329758159927197,0.0874184449813365,2.75951993113746
"Background_Purple+Clothes_No",2,38,0.0275862851509306,0.0280693829333458,-0.0274297053984271,0.0826022757002884,2.79703098540158
"Background_Purple+Clothes_No",2,39,0.0300833582354224,0.0311075106288823,-0.0308873625971868,0.0910540790680316,3.05404344053555
"Background_Purple+Clothes_No",2,40,0.0722794333975816,0.0455710861749785,-0.0170398955053763,0.161598762300539,7.49556806179121
"Background_Purple+Clothes_No",2,41,0.03082799203778,0.0326667329272271,-0.0331988044995852,0.0948547885751452,3.13080954252112
"Background_Purple+Clothes_No",2,42,0.0582748626778481,0.047351237562485,-0.0345335629446225,0.151083288300319,6.00063118458969
"Background_Purple+Clothes_No",2,43,0.0304671439047267,0.0358724516540436,-0.0398428613371988,0.100777149146652,3.09360169603212
"Background_Purple+Clothes_No",2,44,0.0646572630407568,0.0328106484718044,0.000348392036020273,0.128966134045493,6.67933322168368
"Background_Purple+Clothes_No",2,45,0.0699139115414814,0.0420625770246958,-0.0125287394269223,0.152356562509885,7.24158546523281
"Background_Purple+Clothes_No",2,46,0.0678634342114304,0.0451957375748259,-0.0207202114352283,0.156447079858089,7.02191431771815
"Background_Purple+Clothes_No",2,47,0.0280525548017115,0.0305917679068864,-0.0319073102957859,0.0880124198992089,2.84497329729438
"Background_Purple+Clothes_No",2,48,0.0263795253073398,0.0343250875692314,-0.0408976463283537,0.0936566969430332,2.67305447634962
"Background_Purple+Clothes_No",2,49,0.0583886065831986,0.0438204321563464,-0.0274994404432402,0.144276653609637,6.01268879607715
"Background_Purple+Clothes_No",2,51,0.0206213148568907,0.0303437298323154,-0.0388523956144475,0.0800950253282288,2.08354032323819
"Background_Purple+Clothes_No",2,52,0.0282586354589275,0.0307542824434425,-0.0320197581302198,0.0885370290480748,2.86616984100665
